78334
ENSMUSG00000102693.2	4933401J01Rik	TEC
ENSMUSG00000064842.3	Gm26206	snRNA
ENSMUSG00000051951.6	Xkr4	protein_coding
ENSMUSG00000102851.2	Gm18956	processed_pseudogene
ENSMUSG00000103377.2	Gm37180	TEC
ENSMUSG00000104017.2	Gm37363	TEC
ENSMUSG00000103025.2	Gm37686	TEC
ENSMUSG00000089699.3	Gm1992	lncRNA
ENSMUSG00000103201.2	Gm37329	TEC
ENSMUSG00000103147.2	Gm7341	processed_pseudogene
ENSMUSG00000103161.2	Gm38148	TEC
ENSMUSG00000102331.2	Gm19938	lncRNA
ENSMUSG00000102348.2	Gm10568	TEC
ENSMUSG00000102592.2	Gm38385	TEC
ENSMUSG00000088333.4	Gm27396	snRNA
ENSMUSG00000142494.1	Gm71132	lncRNA
ENSMUSG00000102343.2	Gm37381	lncRNA
ENSMUSG00000133908.1	Gm70642	lncRNA
ENSMUSG00000025900.14	Rp1	protein_coding
ENSMUSG00000102948.2	Gm6101	processed_pseudogene
ENSMUSG00000104123.2	Gm37483	TEC
ENSMUSG00000135717.1	Gm70753	lncRNA
ENSMUSG00000139157.1	Gm70932	lncRNA
ENSMUSG00000025902.14	Sox17	protein_coding
ENSMUSG00000104238.3	Gm37587	lncRNA
ENSMUSG00000102269.2	Gm7357	processed_pseudogene
ENSMUSG00000118917.1	Gm22307	snRNA
ENSMUSG00000103003.2	Gm38076	processed_pseudogene
ENSMUSG00000104328.3	Gm37323	lncRNA
ENSMUSG00000131850.1	ENSMUSG00000131850	lncRNA
ENSMUSG00000102735.2	Gm7369	transcribed_processed_pseudogene
ENSMUSG00000098104.2	Gm6085	processed_pseudogene
ENSMUSG00000102175.2	Gm6119	processed_pseudogene
ENSMUSG00000135930.1	Gm70763	lncRNA
ENSMUSG00002075947.1	Gm56275	snRNA
ENSMUSG00000103265.2	Gm2053	processed_pseudogene
ENSMUSG00000103922.2	Gm6123	processed_pseudogene
ENSMUSG00000033845.14	Mrpl15	protein_coding
ENSMUSG00000102275.2	Gm37144	TEC
ENSMUSG00000120403.2	A930006A01Rik	lncRNA
ENSMUSG00000136002.1	Gm70766	lncRNA
ENSMUSG00000025903.15	Lypla1	protein_coding
ENSMUSG00000104217.2	Gm37988	protein_coding
ENSMUSG00000137875.1	Gm70868	lncRNA
ENSMUSG00000033813.16	Tcea1	protein_coding
ENSMUSG00000062588.5	Gm6104	processed_pseudogene
ENSMUSG00000103280.2	Gm37277	TEC
ENSMUSG00000002459.18	Rgs20	protein_coding
ENSMUSG00000091305.2	Gm17100	processed_pseudogene
ENSMUSG00000102653.2	Gm37079	TEC
ENSMUSG00000085623.2	Gm16041	lncRNA
ENSMUSG00000091665.2	Gm17101	processed_pseudogene
ENSMUSG00000033793.13	Atp6v1h	protein_coding
ENSMUSG00000143188.1	Gm71170	lncRNA
