"ENSEMBL","SYMBOL","GENENAME"
"ENSMUSG00000049556","Lingo1","leucine rich repeat and Ig domain containing 1"
"ENSMUSG00000070031","Sp140","Sp140 nuclear body protein"
"ENSMUSG00000019359","Gdpd2","glycerophosphodiester phosphodiesterase domain containing 2"
"ENSMUSG00000031748","Gnao1","guanine nucleotide binding protein, alpha O"
"ENSMUSG00000034981","Parm1","prostate androgen-regulated mucin-like protein 1"
"ENSMUSG00000034771","Tle2","transducin-like enhancer of split 2"
"ENSMUSG00000134796",NA,NA
"ENSMUSG00000036437","Npy1r","neuropeptide Y receptor Y1"
"ENSMUSG00000111394",NA,NA
"ENSMUSG00000038193","Hand2","heart and neural crest derivatives expressed 2"
"ENSMUSG00000053797","Krt16","keratin 16"
"ENSMUSG00000061527","Krt5","keratin 5"
"ENSMUSG00000032839","Trpc1","transient receptor potential cation channel, subfamily C, member 1"
"ENSMUSG00000002107","Celf2","CUGBP, Elav-like family member 2"
"ENSMUSG00000029673","Auts2","autism susceptibility candidate 2"
"ENSMUSG00000131635",NA,NA
"ENSMUSG00000001930","Vwf","Von Willebrand factor"
"ENSMUSG00000040229","Gpr34","G protein-coupled receptor 34"
"ENSMUSG00000035285","Nat14","N-acetyltransferase 14"
"ENSMUSG00000034997","Htr2a","5-hydroxytryptamine (serotonin) receptor 2A"
"ENSMUSG00000021583","Erap1","endoplasmic reticulum aminopeptidase 1"
"ENSMUSG00000021098","4930447C04Rik","RIKEN cDNA 4930447C04 gene"
"ENSMUSG00000001819","Hoxd13","homeobox D13"
"ENSMUSG00000044678","Ly6k","lymphocyte antigen 6 family member K"
"ENSMUSG00000024521","Pmaip1","phorbol-12-myristate-13-acetate-induced protein 1"
"ENSMUSG00000070605","Zfp992","zinc finger protein 992"
"ENSMUSG00000084796",NA,NA
"ENSMUSG00000033585","Ndn","necdin, MAGE family member"
"ENSMUSG00000090125","Pou3f1","POU domain, class 3, transcription factor 1"
"ENSMUSG00000042258","Isl1","ISL1 transcription factor, LIM/homeodomain"
"ENSMUSG00000029223","Uchl1","ubiquitin carboxy-terminal hydrolase L1"
"ENSMUSG00000029330","Cds1","CDP-diacylglycerol synthase 1"
"ENSMUSG00000038523","1700003F12Rik","RIKEN cDNA 1700003F12 gene"
"ENSMUSG00000039963","Ccdc40","coiled-coil domain containing 40"
"ENSMUSG00000044528","Tram1l1","translocation associated membrane protein 1-like 1"
"ENSMUSG00000019906","Lin7a","lin-7 homolog A, crumbs cell polarity complex component"
"ENSMUSG00000066113","Adamtsl1","ADAMTS-like 1"
"ENSMUSG00000019767","Ccdc170","coiled-coil domain containing 170"
"ENSMUSG00000029671","Wnt16","wingless-type MMTV integration site family, member 16"
"ENSMUSG00000056073","Grik2","glutamate receptor, ionotropic, kainate 2 (beta 2)"
"ENSMUSG00000041078","Grid1","glutamate receptor, ionotropic, delta 1"
"ENSMUSG00000029212","Gabrb1","gamma-aminobutyric acid type A receptor subunit beta 1"
"ENSMUSG00000029168","Dpysl5","dihydropyrimidinase-like 5"
"ENSMUSG00000022296","Baalc","brain and acute leukemia, cytoplasmic"
"ENSMUSG00000104667","Gm4961","kinesin superfamily protein 2C pseudogene"
"ENSMUSG00000028977","Casz1","castor zinc finger 1"
"ENSMUSG00000078307","AI593442","expressed sequence AI593442"
"ENSMUSG00000078942","Naip6","NLR family, apoptosis inhibitory protein 6"
"ENSMUSG00000109006",NA,NA
"ENSMUSG00000140700",NA,NA
"ENSMUSG00000079164","Tlr5","toll-like receptor 5"
"ENSMUSG00000000440","Pparg","peroxisome proliferator activated receptor gamma"
"ENSMUSG00000139940",NA,NA
"ENSMUSG00000029919","Hpgds","hematopoietic prostaglandin D synthase"
"ENSMUSG00000025083","Afap1l2","actin filament associated protein 1-like 2"
"ENSMUSG00000071714","Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
"ENSMUSG00000038146","Notch3","notch 3"
